onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,C5,C5,1.0
correct,0.51,0.51,0.0,C5,C5,1.0
correct,0.99,0.99,0.0,G5,G5,1.0
correct,1.5,1.5,0.0,G5,G5,1.0
correct,2.02,2.02,0.0,A5,A5,1.0
correct,2.5,2.5,0.0,G5,G5,1.0
correct,3.01,3.01,0.0,G5,G5,1.0
correct,3.52,3.52,0.0,F5,F5,1.0
correct,4.0,4.0,0.0,F5,F5,1.0
correct,4.51,4.51,0.0,F5,F5,1.0
correct,4.99,4.99,0.0,E/Fb5,E/Fb5,1.0
correct,5.5,5.5,0.0,E/Fb5,E/Fb5,1.0
correct,6.02,5.98,0.04,D5,D5,1.0
correct,6.37,6.37,0.0,E/Fb5,D5,0.6
correct,6.53,6.53,0.0,C5,C5,1.0
correct,7.52,7.52,0.0,C5,C5,1.0
correct,8.0,8.0,0.0,C5,C5,1.0
correct,8.51,8.51,0.0,C5,C5,1.0
correct,8.99,9.02,-0.03,G5,G5,1.0
correct,9.5,9.5,0.0,G5,G5,1.0
correct,10.02,10.02,0.0,A5,A5,1.0
correct,10.5,10.5,0.0,G5,G5,1.0
correct,11.01,11.01,0.0,G5,G5,1.0
correct,11.52,11.52,0.0,F5,F5,1.0
correct,12.0,12.0,0.0,F5,F5,1.0
correct,12.51,12.51,0.0,F5,F5,1.0
correct,12.99,12.99,0.0,E/Fb5,E/Fb5,1.0
correct,13.5,13.5,0.0,E/Fb5,E/Fb5,1.0
correct,14.02,14.02,0.0,D5,D5,1.0
correct,14.37,14.37,0.0,E/Fb5,D5,0.6
correct,14.53,14.53,0.0,C5,C5,1.0
correct,15.52,15.52,0.0,G5,G5,1.0
correct,16.0,16.0,0.0,G5,G5,1.0
correct,16.51,16.51,0.0,G5,G5,1.0
correct,16.99,17.02,-0.03,F5,F5,1.0
correct,17.5,17.5,0.0,F5,F5,1.0
correct,18.02,18.02,0.0,E/Fb5,E/Fb5,1.0
correct,18.5,18.5,0.0,D5,D5,1.0
correct,19.01,19.01,0.0,D5,D5,1.0
correct,19.49,19.49,0.0,G5,D5,0.1
correct,20.0,20.0,0.0,G5,G5,1.0
correct,20.51,20.51,0.0,G5,G5,1.0
correct,20.99,21.02,-0.03,F5,F5,1.0
correct,21.5,21.5,0.0,F5,F5,1.0
correct,22.02,22.02,0.0,F5,F5,1.0
correct,22.24,22.24,0.0,E/Fb5,E/Fb5,1.0
correct,22.37,22.4,-0.03,E/Fb5,F5,0.8
correct,22.53,22.53,0.0,E/Fb5,E/Fb5,1.0
correct,23.01,23.01,0.0,D5,D5,1.0
correct,23.49,23.49,0.0,D5,D5,1.0
correct,24.0,24.0,0.0,C5,C5,1.0
correct,24.51,24.51,0.0,C5,C5,1.0
correct,24.99,25.02,-0.03,G5,G5,1.0
correct,25.5,25.5,0.0,G5,G5,1.0
correct,26.02,26.02,0.0,A5,A5,1.0
correct,26.5,26.53,-0.03,G5,G5,1.0
correct,27.01,27.01,0.0,G5,G5,1.0
correct,27.52,27.52,0.0,F5,F5,1.0
correct,28.0,28.0,0.0,F5,F5,1.0
correct,28.51,28.51,0.0,F5,F5,1.0
correct,28.99,29.02,-0.03,E/Fb5,E/Fb5,1.0
correct,29.5,29.5,0.0,E/Fb5,E/Fb5,1.0
correct,30.02,30.02,0.0,E/Fb5,E/Fb5,1.0
correct,30.24,30.24,0.0,D5,D5,1.0
correct,30.37,30.4,-0.03,D5,E/Fb5,0.6
correct,30.53,30.53,0.0,C5,C5,1.0
