onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,D4,D4,1.0
correct,0.26,0.26,0.0,D4,D4,1.0
correct,0.52,0.52,0.0,F4,F4,1.0
correct,1.03,1.03,0.0,D4,D4,1.0
correct,1.38,1.38,0.0,D4,D4,1.0
correct,1.54,1.54,0.0,G4,G4,1.0
correct,2.53,2.53,0.0,G4,G4,1.0
correct,3.01,3.01,0.0,E/Fb4,E/Fb4,1.0
correct,3.78,3.78,0.0,E/Fb4,E/Fb4,1.0
correct,4.0,4.0,0.0,E/Fb4,E/Fb4,1.0
correct,4.26,4.26,0.0,E/Fb4,E/Fb4,1.0
correct,4.52,4.52,0.0,D4,D4,1.0
correct,5.76,5.76,0.0,D4,D4,1.0
correct,6.02,6.02,0.0,E/Fb4,E/Fb4,1.0
correct,6.53,6.53,0.0,E/Fb4,E/Fb4,1.0
correct,7.01,7.01,0.0,F4,F4,1.0
correct,7.78,7.78,0.0,A#/Bb3,A#/Bb3,1.0
correct,8.52,8.52,0.0,A#/Bb3,A#/Bb3,1.0
correct,8.77,8.77,0.0,A#/Bb3,A#/Bb3,1.0
correct,9.03,9.03,0.0,A#/Bb3,A#/Bb3,1.0
correct,9.28,9.28,0.0,A#/Bb3,A#/Bb3,1.0
correct,9.51,9.51,0.0,A#/Bb3,A#/Bb3,1.0
correct,10.02,10.02,0.0,B/Cb3,B/Cb3,1.0
correct,10.53,10.53,0.0,A#/Bb3,A#/Bb3,1.0
correct,10.76,10.76,0.0,A#/Bb3,A#/Bb3,1.0
correct,11.27,11.27,0.0,B/Cb3,B/Cb3,1.0
correct,11.78,11.78,0.0,A3,A3,1.0
correct,12.52,12.52,0.0,A3,A3,1.0
correct,13.03,13.03,0.0,G3,G3,1.0
correct,13.51,13.51,0.0,A3,A3,1.0
correct,15.78,15.78,0.0,A3,A3,1.0
correct,16.0,16.04,-0.04,A3,A3,1.0
correct,16.26,16.26,0.0,A3,A3,1.0
correct,16.52,16.52,0.0,A3,A3,1.0
correct,17.25,17.28,-0.03,X0,A3,0.0
correct,17.51,17.51,0.0,A3,A3,1.0
correct,17.76,17.76,0.0,A3,A3,1.0
correct,18.02,18.02,0.0,A3,A3,1.0
correct,18.76,18.76,0.0,A3,A3,1.0
correct,19.27,19.27,0.0,C4,C4,1.0
correct,19.78,19.78,0.0,D4,D4,1.0
correct,20.52,20.52,0.0,D4,D4,1.0
correct,22.02,22.02,0.0,D4,D4,1.0
correct,22.53,22.53,0.0,D4,D4,1.0
correct,23.01,23.01,0.0,A3,A3,1.0
correct,23.27,23.27,0.0,C4,C4,1.0
correct,24.0,24.04,-0.04,C4,D4,0.6
correct,24.52,24.52,0.0,D4,D4,1.0
correct,25.03,25.03,0.0,D4,D4,1.0
correct,25.25,25.28,-0.03,D4,D4,1.0
correct,26.76,26.76,0.0,A3,A3,1.0
correct,27.27,27.27,0.0,C4,C4,1.0
correct,27.78,27.78,0.0,D4,D4,1.0
correct,28.52,28.52,0.0,D4,D4,1.0
early,29.76,29.54,0.22,D4,D4,1.0
correct,30.02,29.73,0.29,G4,D4,0.1
correct,30.28,30.02,0.26,A4,G4,0.6
correct,30.53,30.28,0.25,A4,A4,1.0
early,31.01,30.53,0.48,E/Fb4,A4,0.1
late,31.27,31.01,0.26,C4,E/Fb4,0.2
early,31.78,31.27,0.51,D4,C4,0.6
early,32.52,31.78,0.74,D4,D4,1.0
early,35.78,32.52,3.26,D4,D4,1.0
correct,35.91,35.78,0.13,D4,D4,1.0
correct,36.04,35.91,0.13,D4,D4,1.0
correct,36.16,36.04,0.12,D4,D4,1.0
early,36.77,36.16,0.61,D4,D4,1.0
correct,36.9,36.77,0.13,E/Fb4,D4,0.6
correct,37.03,36.9,0.13,E/Fb4,E/Fb4,1.0
correct,37.16,37.03,0.13,E/Fb4,E/Fb4,1.0
early,37.76,37.16,0.6,E/Fb4,E/Fb4,1.0
correct,37.89,37.76,0.13,E/Fb4,E/Fb4,1.0
correct,38.02,37.92,0.1,E/Fb4,E/Fb4,1.0
correct,38.15,38.05,0.1,E/Fb4,E/Fb4,1.0
early,38.76,38.15,0.61,D4,E/Fb4,0.6
extra,,38.79,,,D4,
